VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ISL,Iceland,2016,2016,53480.4,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ISL,Iceland,2017,2017,55638.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ISL,Iceland,2018,2018,57211.3,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ISL,Iceland,2019,2019,58290.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ISL,Iceland,2020,2020,53616.7,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2005,2005,40466.3,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2006,2006,44226.7,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2007,2007,46773.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2008,2008,44169.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2009,2009,41471.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2010,2010,43203.1,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2011,2011,45080.2,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2012,2012,46361.5,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2013,2013,47830.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2014,2014,51098.3,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2015,2015,69028.8,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2016,2016,71498.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2017,2017,77749.2,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2018,2018,84555.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2019,2019,87379.7,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",IRL,Ireland,2020,2020,93355.6,,
ECONPIBN,Gross domestic product (GDP),PPPPERMT,"/capita, US$ purchasing power parity",ITA,Italy,2005,2005,30130.6,,
